,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2.1E+12,1,1,1,0.999996696,0.999997798,0.999998899,0.999998899,0.999998899,0.999992292,0.999995595,0.999984583,0.999990089,0.99995375,0.999974673,0.999958155,0.999959256,0.99982381,0.999982381,0.999909703,0.999932828,0.999890983,0.999919613,0.999334884,0.999801787,0.998948368,0.995917924,0.995927834,0.995880484,0.989972871,0.999193932,0.985803167,0.99066987
2.2E+12,1,1,1,0.999996772,0.999998924,0.999996772,0.999998924,0.999995697,0.999988165,0.999993545,0.99998709,0.999962345,0.999995697,0.99998709,0.999988165,0.999994621,0.999998924,0.999963421,0.999983862,0.999958041,0.999575032,0.999292079,0.999703061,0.998106475,0.998640104,0.998522835,0.997104847,0.993268378,0.996282892,0.989341699,0.980183486,0.981048228
2.3E+12,1,1,0.999998948,0.999997896,0.999998948,1,0.999998948,0.999998948,0.999984217,0.999995791,0.999989478,0.999997896,0.999989478,0.999994739,0.999917927,0.999934762,0.999825332,0.999969486,0.999944232,0.999947389,0.99957806,0.999531763,0.99987689,0.999588582,0.998151253,0.998882544,0.994485364,0.993413184,0.994589531,0.993019668,0.992014843,0.968937928
2.4E+12,1,1,1,0.99999691,0.99999794,0.99999794,0.99999897,1,0.999985579,0.99999588,0.999985579,0.999951587,0.999957767,0.999966008,0.999905234,0.999973218,0.999949527,0.999875362,0.999907294,0.999974248,0.999936136,0.99935415,0.999589004,0.998181938,0.997724591,0.998914312,0.995811777,0.994838383,0.988075387,0.997791544,0.972031238,0.985516028
2.5E+12,1,1,0.999998991,0.999997981,0.999998991,1,0.999998991,0.999998991,0.999997981,0.999998991,1,0.999998991,0.999962658,0.999955593,0.999903112,0.999923297,0.999808242,0.999996972,0.999968713,0.99991926,0.999767872,0.999509503,0.999650798,0.999464087,0.999207737,0.997661564,0.99698335,0.996620022,0.989525264,0.996426247,0.997518251,0.990231684
2.6E+12,1,1,1,0.999997031,0.99999901,0.999997031,0.99999901,0.99999901,0.999992083,0.999997031,0.999995052,0.999955466,0.999991093,0.999998021,0.999940621,0.999859469,0.999982186,0.999824831,0.999919838,0.999902024,0.999577418,0.99980009,0.999816914,0.999435897,0.998992532,0.999296356,0.996590652,0.996604507,0.999703104,0.99710131,0.987267652,0.986561134
2.7E+12,1,1,1,0.999997087,0.999999029,1,0.999997087,0.999997087,0.999990288,0.999995144,0.999992231,0.999989317,0.999990288,0.999999029,0.999998058,0.999837817,0.999878606,0.999999029,0.999946587,0.999767894,0.999730019,0.999783433,0.999921337,0.998477231,0.997993598,0.998495683,0.998118876,0.999257067,0.998482087,0.999773721,0.994247904,0.978881806
2.8E+12,1,1,1,0.999997139,0.999999046,1,0.999997139,0.999997139,0.999990463,0.999995232,0.999992371,0.999969483,0.999970437,0.999949456,0.999958039,0.999876025,0.999888422,0.999864581,0.999969483,0.999745374,0.999951364,0.999994278,0.999808315,0.999870303,0.997144765,0.997195308,0.998114627,0.999808315,0.991067305,0.999429715,0.982165286,0.99275614
2.9E+12,1,1,1,1,1,0.999997189,1,0.999996252,0.999989692,0.999994378,0.999993441,0.999988755,0.999953147,0.999970951,0.999905356,0.999885678,0.999930657,0.999990629,0.99990723,0.999975636,0.999677649,0.999422766,0.999860377,0.99841823,0.999877244,0.997096033,0.999748866,0.99700139,0.991335104,0.995827256,0.991507514,0.984629289
3E+12,1,1,1,0.999997236,0.999999079,0.999997236,0.999999079,0.999996315,0.999989866,0.999995393,0.999989866,0.999974203,0.999996315,0.999990787,0.999880229,0.999905104,0.999918924,0.999994472,0.999909711,0.999955777,0.999590935,0.999619496,0.999784412,0.99934955,0.999993551,0.998621709,0.999375347,0.997631296,0.997093249,0.993766428,0.998811501,0.975089774
3.1E+12,1,1,1,0.999997281,0.999999094,1,0.999997281,1,0.999986405,0.999998187,0.999988218,0.999989124,0.99999003,0.999992749,0.999936556,0.999951964,0.999940182,0.999970997,0.999944714,0.999893959,0.999994562,0.99949789,0.999098196,0.99791543,0.998008782,0.999786105,0.999786105,0.99639642,0.99739157,0.996339322,0.979503654,0.989857467
3.2E+12,1,1,0.999999108,0.999998216,0.999998216,0.999997324,0.999999108,0.999999108,0.999990187,0.999996432,0.999985727,0.99997413,0.999966994,0.999962533,0.999955397,0.999985727,0.999850134,0.99999554,0.999925959,0.999951829,0.999884032,0.999641391,0.999248884,0.999950045,0.998266725,0.999284566,0.997442462,0.997680642,0.991393552,0.998273861,0.992932285,0.995906345
3.3E+12,1,1,1,0.999997365,0.999999122,1,0.999998243,0.999995608,0.999993851,0.999992094,0.999986823,0.999985066,0.999959592,0.999968376,0.999976282,0.999992972,0.999987702,0.999951686,0.999948172,0.999924454,0.999602066,0.99983661,0.999449217,0.998246631,0.999008239,0.998251023,0.999893709,0.99971802,0.993778058,0.99517914,0.984548293,0.989451097
